10**4
low club,wins,losses,win v loss %
2,0,10000,0.000
3,1,7620,0.013
4,136,5659,2.347
5,1191,3237,26.897
6,1644,1598,50.709
7,1742,739,70.214
8,1414,342,80.524
9,1189,165,87.814
10,880,59,93.717
J,680,23,96.728
Q,499,8,98.422
K,375,1,99.734
A,249,0,100.000
10^5
low club,wins,losses,win v loss %
2,0,100000,0.000
3,1,76429,0.001
4,1224,56849,2.108
5,11826,32159,26.886
6,16941,16126,51.232
7,16921,7510,69.260
8,14680,3355,81.397
9,11761,1457,88.977
10,9056,576,94.020
J,6678,210,96.951
Q,4934,69,98.621
K,3489,14,99.600
A,2489,0,100.000

10^5
low club,wins,losses,win v loss %
2,0,100000,0.000
3,2,76507,0.003
4,1165,56873,2.007
5,11895,32119,27.025
6,16801,16290,50.772
7,16918,7671,68.803
8,14766,3259,81.920
9,11839,1307,90.058
10,9100,596,93.853
J,6778,226,96.773
Q,4890,64,98.708
K,3524,10,99.717
A,2322,0,100.000

10^6
low club,wins,losses,win v loss %
2,0,1000000,0.000
3,49,765451,0.006
4,12431,568332,2.140
5,117746,320838,26.847
6,167673,161522,50.934
7,169130,75819,69.047
8,147626,33758,81.389
9,118351,14429,89.133
10,91095,5682,94.129
J,67502,2122,96.952
Q,48837,673,98.641
K,34929,154,99.561
A,24631,0,100.000

10^3
low club,wins,losses,win v loss %
2,0,1000,0.000
3,0,792,0.000
4,13,545,2.330
5,110,312,26.066
6,149,183,44.880
7,198,61,76.448
8,133,34,79.641
9,131,13,90.972
10,97,6,94.175
J,57,2,96.610
Q,59,0,100.000
K,36,0,100.000
A,17,0,100.000

10^3
low club,wins,losses,win v loss %
2,0,1000,0.000
3,0,756,0.000
4,16,565,2.754
5,126,336,27.273
6,164,149,52.396
7,180,80,69.231
8,134,43,75.706
9,111,15,88.095
10,98,1,98.990
J,71,3,95.946
Q,58,0,100.000
K,24,0,100.000
A,18,0,100.000

10^3
low club,wins,losses,win v loss %
2,0,1000,0.000
3,0,754,0.000
4,6,560,1.060
5,110,337,24.609
6,184,152,54.762
7,152,79,65.801
8,134,40,77.011
9,136,17,88.889
10,79,7,91.860
J,81,3,96.429
Q,59,0,100.000
K,40,1,97.561
A,19,0,100.000
